objid,sample,asset_id
587722981736120347,original,1
587722981736579107,original,2
587722981741363294,original,3
587722981741363323,original,4
587722981741559888,original,5
587722981741625481,original,6
587722981741625484,original,7
587722981741625520,original,8
587722981741625545,original,9
587722981741691055,original,10
587722981741756545,original,11
587722981741756579,original,12
587722981741822057,original,13
587722981741887560,original,14
587722981742018657,original,15
587722981742084144,original,16
587722981742084303,original,17
587722981742149718,original,18
587722981742149756,original,19
587722981742215305,original,20
587722981742346376,original,21
587722981742542969,original,22
587722981743001771,original,23
587722981743067266,original,24
587722981743198320,original,25
587722981743198327,original,26
587722981743198342,original,27
587722981743263813,original,28
587722981743263878,original,29
587722981743394927,original,30
587722981743394985,original,31
587722981743657087,original,32
587722981743657103,original,33
587722981743853746,original,34
587722981744050315,original,35
587722981744115851,original,36
587722981744181303,original,37
587722981744181387,original,38
587722981744509013,original,39
587722981744640156,original,40
587722981744705719,original,41
587722981744771128,original,42
587722981744771250,original,43
587722981744836751,original,44
587722981744836773,original,45
587722981744836785,original,46
587722981745098894,original,47
587722981745230031,original,48
587722981745295552,original,49
587722981745361071,original,50
587722981745361088,original,51
587722981745426489,original,52
587722981745426524,original,53
587722981745426534,original,54
587722981745492006,original,55
587722981745492138,original,56
587722981745492158,original,57
587722981745557634,original,58
587722981745623268,original,59
587722981745688772,original,60
587722981745754253,original,61
587722981745819655,original,62
587722981746016481,original,63
587722981746082020,original,64
587722981746213010,original,65
587722981746344080,original,66
587722981746344092,original,67
587722981746540704,original,68
587722981746540707,original,69
587722981746606268,original,70
587722981746671830,original,71
587722981746671877,original,72
587722981746802823,original,73
587722981746999500,original,74
587722981747195957,original,75
587722981747196080,original,76
587722981747392587,original,77
587722981747458177,original,78
587722981747589246,original,79
587722981747589302,original,80
587722981747654761,original,81
587722981747785818,original,82
587722981747851418,original,83
587722981747916880,original,84
587722981747916983,original,85
587722981747917003,original,86
587722981747982424,original,87
587722981747982438,original,88
587722981747982465,original,89
587722981747982474,original,90
587722981747982511,original,91
587722981748047894,original,92
587722981748047983,original,93
587722981748047990,original,94
587722981748048000,original,95
587722981748048006,original,96
587722981748048020,original,97
587722981748113544,original,98
587722981748113562,original,99
587722981748113567,original,100
587722981748179130,original,101
587722981748375756,original,102
587722981748375801,original,103
587722981748375814,original,104
587722981748572353,original,105
587722981748637919,original,106
587722981748703283,original,107
587722981748703487,original,108
587722981748703506,original,109
587722981748768912,original,110
587722981748768914,original,111
587722981748768945,original,112
587722981748768984,original,113
587722981748834455,original,114
587722981748834475,original,115
587722981748834513,original,116
587722981748899907,original,117
587722981748899998,original,118
587722981748900028,original,119
587722981748965446,original,120
587722981748965608,original,121
587722981749031027,original,122
587722981749096646,original,123
587722981749096716,original,124
587722981749227687,original,125
587722981749227714,original,126
587722981749293096,original,127
587722981749358673,original,128
587722981749424322,original,129
587722981749555329,original,130
587722981749555394,original,131
587722981749555407,original,132
587722981750014081,original,133
587722981750014083,original,134
587722981750014126,original,135
587722981750276247,original,136
587722981750341700,original,137
587722981750341848,original,138
587722981750341885,original,139
587722981750407198,original,140
587722981750669440,original,141
587722981750734954,original,142
587722981750735040,original,143
587722981750931635,original,144
587722981750931674,original,145
587722981750997085,original,146
587722981750997167,original,147
587722981751193796,original,148
587722981751193901,original,149
587722981751259333,original,150
587722981751259363,original,151
587722981751324880,original,152
587722981751324915,original,153
587722981751455896,original,154
587722981751586996,original,155
587722981751718074,original,156
587722981752438860,original,157
587722981752438928,original,158
587722981752504393,original,159
587722981752570148,original,160
587722981753421978,original,161
587722981754011901,original,162
587722981754273940,original,163
587722981755060409,original,164
587722981755650171,original,165
587722981755781149,original,166
587722981755977936,original,167
587722981755977976,original,168
587722982273122442,original,169
587722982278234150,original,170
587722982278299721,original,171
587722982278365259,original,172
587722982278430881,original,173
587722982278496424,original,174
587722982278758552,original,175
587722982278758580,original,176
587722982278824126,original,177
587722982278824165,original,178
587722982278824192,original,179
587722982278889560,original,180
587722982278889579,original,181
587722982278955023,original,182
587722982278955123,original,183
587722982279020629,original,184
587722982279217271,original,185
587722982279413903,original,186
587722982279610435,original,187
587722982279807091,original,188
587722982279872662,original,189
587722982280003676,original,190
587722982280003754,original,191
587722982280069271,original,192
587722982280134771,original,193
587722982280462491,original,194
587722982280528042,original,195
587722982280593549,original,196
587722982280593602,original,197
587722982280593611,original,198
587722982280724540,original,199
587722982280724639,original,200
587722982280790257,original,201
587722982280921237,original,202
587722982281052314,original,203
587722982281052363,original,204
587722982281117913,original,205
587722982281183264,original,206
587722982281183340,original,207
587722982281183412,original,208
587722982281248961,original,209
587722982281314343,original,210
587722982281314400,original,211
587722982281445440,original,212
587722982281576505,original,213
587722982281576630,original,214
587722982281641986,original,215
587722982281642129,original,216
587722982281642160,original,217
587722982281642176,original,218
587722982281642186,original,219
587722982281773224,original,220
587722982281838697,original,221
587722982281838769,original,222
587722982281904242,original,223
587722982281904263,original,224
587722982281904295,original,225
587722982282035411,original,226
587722982282035453,original,227
587722982282100898,original,228
587722982282100948,original,229
587722982282166331,original,230
587722982282231955,original,231
587722982282231971,original,232
587722982282231984,original,233
587722982282231996,original,234
587722982282231997,original,235
587722982282297560,original,236
587722982282362902,original,237
587722982282559675,original,238
587722982282559702,original,239
587722982282690572,original,240
587722982282690733,original,241
587722982282756204,original,242
587722982282756222,original,243
587722982282756235,original,244
587722982282821773,original,245
587722982282887277,original,246
587722982282952949,original,247
587722982283083960,original,248
587722982283214886,original,249
587722982283215033,original,250
587722982283346153,original,251
587722982283411487,original,252
587722982283411688,original,253
587722982283608235,original,254
587722982283739269,original,255
587722982283739322,original,256
587722982283935946,original,257
587722982284001433,original,258
587722982284132573,original,259
587722982284198067,original,260
587722982284198112,original,261
587722982284198122,original,262
587722982284460121,original,263
587722982284460230,original,264
587722982284460240,original,265
587722982284460272,original,266
587722982284460285,original,267
587722982284525580,original,268
587722982284525759,original,269
587722982284656769,original,270
587722982284656772,original,271
587722982284656773,original,272
587722982284656785,original,273
587722982284656797,original,274
587722982284656850,original,275
587722982284656856,original,276
587722982284656857,original,277
587722982284722211,original,278
587722982284722407,original,279
587722982284787742,original,280
587722982284787839,original,281
587722982284787892,original,282
587722982284787904,original,283
587722982284853290,original,284
587722982284853442,original,285
587722982284918960,original,286
587722982284918964,original,287
587722982284984491,original,288
587722982285246587,original,289
587722982285312179,original,290
587722982285312200,original,291
587722982285312226,original,292
587722982285377757,original,293
587722982285377794,original,294
587722982285508624,original,295
587722982285508744,original,296
587722982285508745,original,297
587722982285508829,original,298
587722982285508856,original,299
587722982285574282,original,300
587722982285574302,original,301
587722982285574311,original,302
587722982285574323,original,303
587722982285574398,original,304
587722982285639845,original,305
587722982285639863,original,306
587722982285639887,original,307
587722982285705374,original,308
587722982285770940,original,309
587722982285836366,original,310
587722982285836367,original,311
587722982285836460,original,312
587722982285836463,original,313
587722982285836470,original,314
587722982285836472,original,315
587722982285836495,original,316
587722982285836514,original,317
587722982285901983,original,318
587722982285902085,original,319
587722982285902126,original,320
587722982285967469,original,321
587722982285967552,original,322
587722982286098618,original,323
587722982286164198,original,324
587722982286229729,original,325
587722982286360600,original,326
587722982286360622,original,327
587722982286360744,original,328
587722982286360754,original,329
587722982286360806,original,330
587722982286360832,original,331
587722982286426253,original,332
587722982286622949,original,333
587722982286819465,original,334
587722982286819508,original,335
587722982286819562,original,336
587722982286884978,original,337
587722982286884987,original,338
587722982286885097,original,339
587722982286950556,original,340
587722982287081613,original,341
587722982287606027,original,342
587722982287606029,original,343
587722982287802378,original,344
587722982287802485,original,345
587722982287867935,original,346
587722982287868005,original,347
587722982287868146,original,348
587722982287933622,original,349
587722982287933689,original,350
587722982287999028,original,351
587722982288195703,original,352
587722982288261152,original,353
587722982288457791,original,354
587722982288523384,original,355
587722982288523390,original,356
587722982288523552,original,357
587722982288589152,original,358
587722982288654610,original,359
587722982288785725,original,360
587722982288982058,original,361
587722982288982220,original,362
587722982289047797,original,363
587722982289375531,original,364
587722982289506494,original,365
587722982289768697,original,366
587722982289834254,original,367
587722982289965171,original,368
587722982290030864,original,369
587722982290424013,original,370
587722982290489533,original,371
587722982290489555,original,372
587722982290555064,original,373
587722982290620479,original,374
587722982290620590,original,375
587722982290620671,original,376
587722982290686147,original,377
587722982290686153,original,378
587722982290751578,original,379
587722982290751667,original,380
587722982290817087,original,381
587722982290817229,original,382
587722982290948239,original,383
587722982290948308,original,384
587722982290948335,original,385
587722982290948344,original,386
587722982291013783,original,387
587722982291210350,original,388
587722982291210436,original,389
587722982291407011,original,390
587722982291407018,original,391
587722982291407103,original,392
587722982291472386,original,393
587722982291472493,original,394
587722982291472511,original,395
587722982291472550,original,396
587722982291538119,original,397
587722982291538157,original,398
587722982291538161,original,399
587722982291603569,original,400
587722982291603595,original,401
587722982291669155,original,402
587722982291734550,original,403
587722982291734755,original,404
587722982291800105,original,405
587722982291800248,original,406
587722982291865751,original,407
587722982291865789,original,408
587722982291931187,original,409
587722982292062358,original,410
587722982292062519,original,411
587722982292127882,original,412
587722982292324493,original,413
587722982292324524,original,414
587722982292390039,original,415
587722982292455604,original,416
587722982292455610,original,417
587722982292455684,original,418
